city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
patitirion,gr,39.27999999997428,23.920000000104324,39.15,23.87,14.08,82,0,0.97
comodoro rivadavia,ar,-48.360000000008284,-66.89999999994214,-45.87,-67.48,10,53,0,5.1
santa isabel do rio negro,br,0.7599999999819431,-64.15999999994074,-0.41,-65.02,23.34,98,76,0.92
tianpeng,cn,31.059999999975915,103.66000000014515,28.88,112.34,16.49,98,92,6.22
decatur,us,39.89999999997417,-88.77999999995333,35.51,-84.79,13,93,90,4.77
ancud,cl,-41.2400000000097,-81.13999999994942,-41.87,-73.83,7.84,85,76,1.12
pizhanka,ru,57.11999999997073,48.62000000011696,57.46,48.54,-1.71,91,80,8.82
smithers,ca,58.65999999997041,-128.0199999999734,54.78,-127.17,4,69,75,1
constitucion,mx,13.13999999997948,-124.53999999997163,23.99,-104.67,17.64,34,12,3.77
huarmey,pe,-12.640000000015391,-85.25999999995153,-10.07,-78.15,18.19,72,36,0.72
san rafael,ar,-36.52000000001064,-67.0199999999422,-34.61,-68.33,7.79,75,0,0.87
cabedelo,br,-5.680000000016776,-25.219999999920816,-6.97,-34.84,25.69,100,80,5.02
julio de castilhos,br,-29.040000000012128,-53.47999999993527,-29.23,-53.68,19.14,93,24,1.62
grindavik,is,56.73999999997079,-26.619999999921532,63.84,-22.43,1.41,86,20,6.2
yurino,ru,56.67999999997082,46.32000000011578,56.29,46.29,-3,86,75,7
tombouctou,ml,16.739999999978764,-2.199999999909039,16.77,-3.01,22.54,35,12,0.02
ambam,cm,2.499999999981597,11.280000000097857,2.38,11.27,23.19,95,92,1.32
mhlume,sz,-25.92000000001275,32.04000000010848,-26.03,31.81,20.19,88,0,1.72
severo-kurilsk,ru,34.279999999975274,163.4400000001757,50.68,156.12,-0.36,100,36,6.22
trelew,ar,-44.80000000000899,-65.79999999994158,-43.25,-65.31,2.89,48,0,3.07
awjilah,ly,27.739999999976575,20.700000000102676,29.14,21.3,18.39,43,0,4.47
ilulissat,gl,73.7799999999674,-44.25999999993056,69.22,-51.1,-5,85,24,1.5
matara,lk,-0.9400000000177187,81.82000000013397,5.95,80.54,30.74,91,0,2.42
onega,ru,63.65999999996944,38.5400000001118,63.91,38.09,-3.61,91,0,1.77
honningsvag,no,70.75999999996802,26.640000000105715,70.98,25.97,1,86,75,0.5
alice springs,au,-27.500000000012434,134.26000000016074,-23.7,133.88,31,15,0,5.7
pangai,to,-21.520000000013624,-172.3999999999961,-19.8,-174.35,26,88,40,9.67
san fernando,mx,24.85999999997715,-98.4999999999583,24.85,-98.15,20.29,79,64,1.67
kytmanovo,ru,53.2399999999715,85.10000000013565,53.46,85.45,18.39,79,92,7.52
buluang,ph,12.659999999979576,118.70000000015284,10.47,123.98,33,59,20,4.6
coaticook,ca,44.91999999997316,-71.65999999994457,45.13,-71.8,-0.47,74,1,2.1
wanlaweyn,so,2.9199999999815134,44.4000000001148,2.62,44.89,25.64,100,64,1.92
orcopampa,pe,-15.240000000014874,-72.6999999999451,-15.27,-72.34,0.29,99,88,0.52
puerto quijarro,bo,-18.000000000014325,-56.999999999937074,-19,-57.72,22.39,74,0,1.52
aitape,pg,0.1599999999820625,143.56000000016553,-3.15,142.36,27.29,100,76,0.17
caravelas,br,-17.940000000014336,-37.53999999992712,-17.73,-39.27,26.19,98,88,4.47
sorland,no,71.11999999996794,9.78000000009709,67.67,12.69,5,86,40,10.3
kutum,sd,14.139999999979281,24.48000000010461,14.2,24.66,25.69,14,8,5.67
haines junction,ca,60.79999999997,-139.1399999999791,60.75,-137.51,-1.31,83,76,1.92
bethel,us,54.13999999997134,-162.13999999999086,60.79,-161.76,8,52,90,5.1
bulaevo,kz,54.639999999971224,69.92000000012786,54.91,70.44,7.99,94,92,3.22
chokurdakh,ru,70.19999999996813,150.90000000016926,70.62,147.9,-1.51,96,0,5.22
katsuura,jp,23.379999999977443,150.20000000016893,33.93,134.5,21,60,75,4.1
tuatapere,nz,-53.540000000007254,156.30000000017208,-46.13,167.69,13.69,89,48,9.12
provideniya,ru,61.89999999996979,-170.69999999999524,64.42,-173.23,-2,63,40,10
asti,it,44.85999999997318,8.200000000096281,44.9,8.21,12.78,67,0,0.5
bathsheba,bb,18.41999999997843,-45.41999999993115,13.22,-59.52,25,83,75,8.7
santa maria,cv,17.41999999997863,-20.819999999918565,16.6,-22.9,20,72,40,6.2
taormina,it,37.639999999974606,15.520000000100026,37.85,15.29,13.77,87,0,2.6
swan river,ca,52.57999999997162,-100.71999999995944,52.11,-101.27,5.69,71,32,5.42
verkh-suetka,ru,53.63999999997142,79.98000000013303,53.3,80.05,16.94,76,64,9.77
fremont,us,41.559999999973826,-96.55999999995731,37.55,-121.99,16.45,59,1,2.6
wawa,ca,47.65999999997263,-85.23999999995152,47.99,-84.77,1.69,62,12,3.47
ibra,om,18.339999999978446,58.42000000012197,22.69,58.55,29.14,37,0,1.52
myitkyina,mm,25.15999999997709,98.80000000014263,25.38,97.4,31.54,51,0,0.42
kiama,au,-37.500000000010445,157.12000000017247,-34.67,150.86,23,56,20,4.6
rexburg,us,44.61999999997323,-111.29999999996485,43.82,-111.79,9.66,87,90,7.2
cukai,my,4.139999999981271,105.340000000146,4.25,103.42,32,62,75,3.1
fort saint james,ca,55.13999999997111,-124.0999999999714,54.43,-124.25,0.19,77,36,1.12
saint george,bm,28.039999999976516,-53.83999999993546,32.38,-64.68,18,68,90,5.7
okhotsk,ru,58.759999999970404,141.98000000016475,59.36,143.24,4.39,65,64,1.07
spencer,us,42.919999999973555,-95.31999999995668,43.14,-95.14,4.72,86,75,2.6
kemin,kg,42.55999999997363,76.46000000013123,42.79,75.7,10.04,75,12,0.82
vila franca do campo,pt,31.999999999975728,-25.879999999921154,37.72,-25.43,14,87,20,3.6
tura,ru,67.4199999999687,103.62000000014507,64.27,100.22,-7.21,53,68,4.97
melfi,td,11.139999999979878,18.600000000101602,11.06,17.94,27.19,60,0,1.72
tulsipur,in,27.779999999976567,82.42000000013422,27.53,82.41,35.79,17,0,4.32
muros,es,42.85999999997358,-13.079999999914605,42.77,-9.06,10,100,90,2.6
port hawkesbury,ca,41.6199999999738,-60.63999999993894,45.62,-61.36,-5,79,1,3.67
sioux lookout,ca,51.739999999971815,-92.4199999999552,50.1,-91.92,9,81,75,2.6
marawi,sd,17.5599999999786,28.960000000106902,18.48,31.82,27.84,19,0,5.02
kashan,ir,33.99999999997533,51.640000000118505,33.99,51.44,19,45,75,9.8
lorengau,pg,8.759999999980352,147.56000000016758,-2.02,147.27,29.24,100,24,2.52
saldanha,za,-35.040000000010934,7.340000000095841,-33.01,17.94,15,87,92,3.6
ukiah,us,36.99999999997473,-126.99999999997289,39.15,-123.21,16,51,1,0.97
hovd,mn,45.73999999997301,102.60000000014458,48.01,91.64,17.54,15,0,2.42
villarrica,co,3.7999999999813383,-74.69999999994613,3.93,-74.6,12.34,85,64,0.42
kupang,id,-12.24000000001547,121.8600000001544,-10.16,123.6,30.84,78,0,8.02
narsaq,gl,76.05999999996698,-67.25999999994232,60.91,-46.05,7,28,56,7.7
pandan,ph,15.859999999978939,125.00000000015604,11.72,122.09,28.59,98,0,6.17
yantal,ru,59.61999999997022,105.24000000014593,56.85,105.25,14.14,53,68,4.77
dawson creek,ca,54.819999999971174,-120.39999999996951,55.76,-120.23,3.16,64,1,1
namibe,ao,-16.16000000001469,10.200000000097305,-15.19,12.15,25.89,100,0,3.32
valdivia,cl,-39.90000000000997,-74.0599999999458,-39.81,-73.25,3,100,0,1
rach gia,vn,9.839999999980137,104.4000000001455,10.02,105.08,32.39,84,32,2.57
kysyl-syr,ru,63.55999999996945,123.68000000015536,63.9,122.77,8.84,70,32,5.72
port augusta,au,-29.700000000011997,136.80000000016207,-32.49,137.76,33,13,8,10.3
mao,td,15.439999999979023,15.500000000100016,14.12,15.31,24.89,17,0,3.22
seymchan,ru,63.03999999996955,151.7800000001697,62.93,152.39,1.64,86,36,2.72
roald,no,75.21999999996711,-0.2799999999080569,62.58,6.12,8.72,100,75,2.1
gambela,et,8.299999999980443,34.08000000010952,8.25,34.59,24.49,80,8,1.27
sao raimundo das mangabeiras,br,-6.5000000000166125,-45.079999999930976,-7.02,-45.48,25.04,75,48,2.52
nago,jp,26.579999999976806,128.36000000015775,26.59,127.98,25.26,83,75,5.7
vengerovo,ru,55.87999999997098,77.60000000013179,55.68,76.74,1.04,100,92,6.87
ahtopol,bg,42.319999999973675,28.140000000106483,42.1,27.94,16,63,0,6.2
mahanoro,mg,-20.420000000013843,51.640000000118505,-19.9,48.8,22.04,100,100,0.77
pozo colorado,py,-23.980000000013135,-58.93999999993807,-23.49,-58.8,24.19,70,0,2.67
bouna,ci,9.539999999980196,-4.0399999999099805,9.27,-3,24.34,85,48,3.72
tabatinga,br,-21.80000000001357,-48.519999999932736,-21.74,-48.69,17.79,78,0,2.97
kikinda,rs,45.69999999997299,20.440000000102543,45.83,20.46,14.03,87,0,2.1
yarada,in,13.33999999997944,86.22000000013622,17.65,83.27,30.29,93,88,7.52
valparaiso,cl,-32.04000000001153,-74.39999999994598,-33.04,-71.63,13,87,0,1.32
lagoa,pt,51.41999999997188,-32.67999999992463,37.14,-8.45,16,72,0,3.6
bongaree,au,-26.960000000012542,153.2800000001705,-27.08,153.16,23,60,20,3.6
utinga,br,-11.280000000015661,-42.93999999992988,-5.82,-35.4,24,88,20,1.5
talnakh,ru,70.17999999996812,88.20000000013721,69.49,88.39,-12.26,87,76,6.37
amungan,ph,15.279999999979054,119.82000000015341,15.37,119.96,28.89,84,24,2.02
merauke,id,-9.200000000016075,139.22000000016328,-8.49,140.4,30.74,70,68,6.97
bryant,us,34.319999999975266,-92.39999999995518,34.6,-92.49,12.51,93,75,3.6
anadyr,ru,65.53999999996904,177.02000000018268,64.73,177.51,-4,73,0,10
kaduqli,sd,11.919999999979723,30.160000000107516,11.01,29.72,29.94,45,0,2.22
vestmannaeyjar,is,51.719999999971805,-22.679999999919517,63.44,-20.27,2.29,100,0,4.57
kailua,us,35.55999999997502,-151.6399999999855,21.39,-157.74,24,78,75,4.6
comarapa,bo,-17.82000000001436,-64.89999999994112,-17.91,-64.53,8.19,93,56,1.07
sambava,mg,-11.460000000015626,53.18000000011929,-14.27,50.17,24.69,100,68,6.87
karratha,au,-17.840000000014356,113.7400000001503,-20.74,116.85,38.49,15,0,2.17
auki,sb,-3.180000000017273,163.46000000017568,-8.77,160.7,27.09,100,80,2.52
oistins,bb,12.079999999979691,-58.27999999993773,13.07,-59.53,25,83,75,8.7
palmerston,au,-13.380000000015244,130.58000000015886,-12.49,130.99,34,32,0,3.1
bodo,no,67.19999999996872,14.440000000099474,67.28,14.4,7,65,75,8.7
canoinhas,br,-26.440000000012645,-50.239999999933616,-26.18,-50.4,12.39,95,12,1.17
moussoro,td,14.79999999997915,16.60000000010058,13.64,16.49,24.49,26,0,1.97
neiafu,to,-19.400000000014046,-172.23999999999603,-18.65,-173.98,27,83,40,7.92
las vegas,us,34.49999999997523,-105.25999999996176,36.17,-115.15,24.99,22,1,2.17
northam,au,-32.40000000001146,117.76000000015233,-31.65,116.67,23,49,40,6.7
solnechnyy,ru,61.41999999996989,138.76000000016307,50.72,136.64,12.99,41,92,3.32
ust-omchug,ru,61.37999999996987,148.72000000016817,61.13,149.63,-0.66,71,76,1.57
skjervoy,no,72.15999999996774,20.18000000010241,70.03,20.97,1,74,75,6.2
bezhanitsy,ru,56.7599999999708,29.920000000107393,56.97,29.88,3.14,57,0,2.07
dharchula,in,32.17999999997569,82.0600000001341,29.85,80.53,10.14,67,0,0.62
banda aceh,id,4.159999999981267,94.3800000001404,5.56,95.32,30.04,85,32,1.12
ouesso,cg,2.3399999999816288,16.180000000100364,1.61,16.05,24.89,95,44,1.22
takoradi,gh,2.1799999999816606,-1.4399999999086504,4.89,-1.75,25.89,100,0,2.22
svetlogorsk,ru,66.41999999996887,88.42000000013729,53.14,59.15,7,87,90,6
